Product,Price (PLN)
English Muffins (pack of 6),8.00
Croissants (pack of 6),12.00
Donuts (pack of 6),10.00
Pita Bread (pack of 6),8.00
Tortilla Wraps (pack of 8),10.00
Burger Buns (pack of 8),8.00
Hot Dog Buns (pack of 8),8.00
Sub Rolls (pack of 4),10.00
Garlic Bread (pack of 2),12.00
Naan Bread (pack of 4),10.00
Rice Cakes (pack of 10),6.00
Popcorn (pack of 3),8.00
Pretzels (200g),5.00
Potato Chips (200g),7.00
Corn Chips (200g),6.00
Nacho Chips (200g),8.00
Tortilla Chips (200g),7.00
Trail Mix (200g),15.00
Mixed Nuts (200g),20.00
Peanuts (200g),10.00
Cashews (200g),25.00
Almonds (200g),20.00
Pistachios (200g),30.00
Walnuts (200g),20.00
Hazelnuts (200g),25.00
Sunflower Seeds (200g),10.00
Pumpkin Seeds (200g),12.00
Dried Cranberries (200g),15.00
Raisins (200g),10.00
Dried Apricots (200g),15.00
Prunes (200g),12.00
Dates (200g),15.00
Coconut Flakes (200g),10.00
Granola Bars (pack of 6),15.00
Breakfast Bars (pack of 6),12.00
Fruit Snacks (pack of 10),15.00
Yogurt Covered Pretzels (200g),15.00
Cheese Crackers (200g),10.00
Peanut Butter Crackers (200g),12.00
Oatmeal Cookies (200g),10.00
Chocolate Chip Cookies (200g),12.00
Gingerbread Cookies (200g),10.00
